1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,"tensor([0.4720, 0.0711, 0.0815, 0.2383, 0.0665, 0.0704])",,,,,,,,,,,,,,,,,
,"tensor([0.4653, 0.0701, 0.0804, 0.2492, 0.0656, 0.0694])",,,,,,,,,,,,,,,,,
,"tensor([0.4681, 0.0705, 0.0809, 0.2448, 0.0660, 0.0698])",,,,,,,,,,,,,,,,,
,"tensor([0.4724, 0.0712, 0.0816, 0.2378, 0.0666, 0.0705])",,,,,,,,,,,,,,,,,
,"tensor([0.4624, 0.0697, 0.0799, 0.2539, 0.0652, 0.0690])",,,,,,,,,,,,,,,,,
,"tensor([0.4944, 0.0745, 0.0854, 0.2023, 0.0697, 0.0738])",,,,,,,,,,,,,,,,,
,"tensor([0.4676, 0.0705, 0.0808, 0.2455, 0.0659, 0.0698])",,,,,,,,,,,,,,,,,
,"tensor([0.4751, 0.0716, 0.0821, 0.2334, 0.0670, 0.0709])",,,,,,,,,,,,,,,,,
,"tensor([0.4769, 0.0719, 0.0824, 0.2304, 0.0672, 0.0712])",,,,,,,,,,,,,,,,,
,"tensor([0.4634, 0.0698, 0.0801, 0.2523, 0.0653, 0.0691])",,,,,,,,,,,,,,,,,
,"tensor([0.4624, 0.0697, 0.0799, 0.2540, 0.0652, 0.0690])",,,,,,,,,,,,,,,,,
,"tensor([0.4905, 0.0739, 0.0847, 0.2086, 0.0691, 0.0732])",,,,,,,,,,,,,,,,,
,"tensor([0.4624, 0.0697, 0.0799, 0.2540, 0.0652, 0.0690])",,,,,,,,,,,,,,,,,
,"tensor([0.4588, 0.0691, 0.0793, 0.2597, 0.0647, 0.0685])",,,,,,,,,,,,,,,,,
,"tensor([0.4644, 0.0700, 0.0802, 0.2506, 0.0655, 0.0693])",,,,,,,,,,,,,,,,,
,"tensor([0.4800, 0.0723, 0.0829, 0.2254, 0.0677, 0.0716])",,,,,,,,,,,,,,,,,
,"tensor([0.4703, 0.0709, 0.0813, 0.2411, 0.0663, 0.0702])",,,,,,,,,,,,,,,,,
,"tensor([0.4744, 0.0715, 0.0820, 0.2345, 0.0669, 0.0708])",,,,,,,,,,,,,,,,,
,"tensor([0.4797, 0.0723, 0.0829, 0.2259, 0.0676, 0.0716])",,,,,,,,,,,,,,,,,
,"tensor([0.4750, 0.0716, 0.0821, 0.2335, 0.0670, 0.0709])",,,,,,,,,,,,,,,,,
,"tensor([0.4772, 0.0719, 0.0824, 0.2300, 0.0673, 0.0712])",,,,,,,,,,,,,,,,,
,"tensor([0.4711, 0.0710, 0.0814, 0.2398, 0.0664, 0.0703])",,,,,,,,,,,,,,,,,
,"tensor([0.4774, 0.0719, 0.0825, 0.2296, 0.0673, 0.0712])",,,,,,,,,,,,,,,,,
,"tensor([0.4805, 0.0724, 0.0830, 0.2247, 0.0677, 0.0717])",,,,,,,,,,,,,,,,,
,"tensor([0.4769, 0.0719, 0.0824, 0.2305, 0.0672, 0.0712])",,,,,,,,,,,,,,,,,
,"tensor([0.4657, 0.0702, 0.0805, 0.2486, 0.0656, 0.0695])",,,,,,,,,,,,,,,,,
,"tensor([0.4718, 0.0711, 0.0815, 0.2386, 0.0665, 0.0704])",,,,,,,,,,,,,,,,,
,"tensor([0.4671, 0.0704, 0.0807, 0.2463, 0.0658, 0.0697])",,,,,,,,,,,,,,,,,
,"tensor([0.4611, 0.0695, 0.0797, 0.2560, 0.0650, 0.0688])",,,,,,,,,,,,,,,,,
,"tensor([0.4626, 0.0697, 0.0799, 0.2536, 0.0652, 0.0690])",,,,,,,,,,,,,,,,,
,"tensor([0.4822, 0.0726, 0.0833, 0.2220, 0.0680, 0.0719])",,,,,,,,,,,,,,,,,
,"tensor([0.4668, 0.0703, 0.0806, 0.2467, 0.0658, 0.0697])",,,,,,,,,,,,,,,,,
,"tensor([0.4752, 0.0716, 0.0821, 0.2332, 0.0670, 0.0709])",,,,,,,,,,,,,,,,,
,"tensor([0.4898, 0.0738, 0.0846, 0.2097, 0.0690, 0.0731])",,,,,,,,,,,,,,,,,
,"tensor([0.4724, 0.0712, 0.0816, 0.2378, 0.0666, 0.0705])",,,,,,,,,,,,,,,,,
,"tensor([0.4643, 0.0700, 0.0802, 0.2508, 0.0654, 0.0693])",,,,,,,,,,,,,,,,,
,"tensor([0.4812, 0.0725, 0.0831, 0.2236, 0.0678, 0.0718])",,,,,,,,,,,,,,,,,
,"tensor([0.4735, 0.0713, 0.0818, 0.2359, 0.0667, 0.0707])",,,,,,,,,,,,,,,,,
,"tensor([0.4732, 0.0713, 0.0818, 0.2364, 0.0667, 0.0706])",,,,,,,,,,,,,,,,,
,"tensor([0.4607, 0.0694, 0.0796, 0.2566, 0.0649, 0.0687])",,,,,,,,,,,,,,,,,
,"tensor([0.4649, 0.0701, 0.0803, 0.2498, 0.0655, 0.0694])",,,,,,,,,,,,,,,,,
,"tensor([0.4763, 0.0718, 0.0823, 0.2315, 0.0671, 0.0711])",,,,,,,,,,,,,,,,,
,"tensor([0.4893, 0.0737, 0.0845, 0.2104, 0.0690, 0.0730])",,,,,,,,,,,,,,,,,
,"tensor([0.4679, 0.0705, 0.0808, 0.2451, 0.0659, 0.0698])",,,,,,,,,,,,,,,,,
,"tensor([0.4814, 0.0725, 0.0832, 0.2232, 0.0679, 0.0718])",,,,,,,,,,,,,,,,,
,"tensor([0.4731, 0.0713, 0.0817, 0.2366, 0.0667, 0.0706])",,,,,,,,,,,,,,,,,
,"tensor([0.4737, 0.0714, 0.0818, 0.2356, 0.0668, 0.0707])",,,,,,,,,,,,,,,,,
,"tensor([0.4618, 0.0696, 0.0798, 0.2548, 0.0651, 0.0689])",,,,,,,,,,,,,,,,,
,"tensor([0.4677, 0.0705, 0.0808, 0.2454, 0.0659, 0.0698])",,,,,,,,,,,,,,,,,
,"tensor([0.4729, 0.0713, 0.0817, 0.2369, 0.0667, 0.0706])",,,,,,,,,,,,,,,,,
,"tensor([0.4904, 0.0739, 0.0847, 0.2088, 0.0691, 0.0732])",,,,,,,,,,,,,,,,,
,"tensor([0.4660, 0.0702, 0.0805, 0.2481, 0.0657, 0.0695])",,,,,,,,,,,,,,,,,
,"tensor([0.4563, 0.0688, 0.0788, 0.2637, 0.0643, 0.0681])",,,,,,,,,,,,,,,,,
,"tensor([0.4819, 0.0726, 0.0833, 0.2224, 0.0679, 0.0719])",,,,,,,,,,,,,,,,,
,"tensor([0.4697, 0.0708, 0.0811, 0.2421, 0.0662, 0.0701])",,,,,,,,,,,,,,,,,
,"tensor([0.4718, 0.0711, 0.0815, 0.2388, 0.0665, 0.0704])",,,,,,,,,,,,,,,,,
,"tensor([0.4861, 0.0732, 0.0840, 0.2156, 0.0685, 0.0725])",,,,,,,,,,,,,,,,,
,"tensor([0.4697, 0.0708, 0.0811, 0.2421, 0.0662, 0.0701])",,,,,,,,,,,,,,,,,
,"tensor([0.4787, 0.0721, 0.0827, 0.2276, 0.0675, 0.0714])",,,,,,,,,,,,,,,,,
,"tensor([0.4799, 0.0723, 0.0829, 0.2256, 0.0676, 0.0716])",,,,,,,,,,,,,,,,,
,,"tensor([0.4872, 0.0715, 0.0771, 0.2260, 0.0683, 0.0700])",,,,,,,,,,,,,,,,
,,"tensor([0.4882, 0.0716, 0.0773, 0.2243, 0.0684, 0.0701])",,,,,,,,,,,,,,,,
,,"tensor([0.4795, 0.0703, 0.0759, 0.2382, 0.0672, 0.0689])",,,,,,,,,,,,,,,,
,,"tensor([0.4805, 0.0705, 0.0760, 0.2366, 0.0673, 0.0690])",,,,,,,,,,,,,,,,
,,"tensor([0.4851, 0.0712, 0.0768, 0.2293, 0.0680, 0.0697])",,,,,,,,,,,,,,,,
,,"tensor([0.4979, 0.0730, 0.0788, 0.2090, 0.0698, 0.0715])",,,,,,,,,,,,,,,,
,,"tensor([0.4783, 0.0702, 0.0757, 0.2402, 0.0670, 0.0687])",,,,,,,,,,,,,,,,
,,"tensor([0.4806, 0.0705, 0.0761, 0.2365, 0.0673, 0.0690])",,,,,,,,,,,,,,,,
,,"tensor([0.5018, 0.0736, 0.0794, 0.2029, 0.0703, 0.0721])",,,,,,,,,,,,,,,,
,,"tensor([0.4869, 0.0714, 0.0771, 0.2264, 0.0682, 0.0699])",,,,,,,,,,,,,,,,
,,"tensor([0.4936, 0.0724, 0.0781, 0.2158, 0.0692, 0.0709])",,,,,,,,,,,,,,,,
,,"tensor([0.4881, 0.0716, 0.0773, 0.2245, 0.0684, 0.0701])",,,,,,,,,,,,,,,,
,,"tensor([0.4937, 0.0724, 0.0781, 0.2156, 0.0692, 0.0709])",,,,,,,,,,,,,,,,
,,"tensor([0.4917, 0.0721, 0.0778, 0.2189, 0.0689, 0.0706])",,,,,,,,,,,,,,,,
,,"tensor([0.4707, 0.0690, 0.0745, 0.2522, 0.0660, 0.0676])",,,,,,,,,,,,,,,,
,,"tensor([0.4815, 0.0706, 0.0762, 0.2350, 0.0675, 0.0692])",,,,,,,,,,,,,,,,
,,"tensor([0.4727, 0.0693, 0.0748, 0.2491, 0.0662, 0.0679])",,,,,,,,,,,,,,,,
,,"tensor([0.4890, 0.0717, 0.0774, 0.2231, 0.0685, 0.0702])",,,,,,,,,,,,,,,,
,,"tensor([0.4787, 0.0702, 0.0758, 0.2396, 0.0671, 0.0687])",,,,,,,,,,,,,,,,
,,"tensor([0.4693, 0.0688, 0.0743, 0.2544, 0.0658, 0.0674])",,,,,,,,,,,,,,,,
,,"tensor([0.4738, 0.0695, 0.0750, 0.2473, 0.0664, 0.0680])",,,,,,,,,,,,,,,,
,,"tensor([0.4876, 0.0715, 0.0772, 0.2253, 0.0683, 0.0700])",,,,,,,,,,,,,,,,
,,"tensor([0.4650, 0.0682, 0.0736, 0.2613, 0.0652, 0.0668])",,,,,,,,,,,,,,,,
,,"tensor([0.4916, 0.0721, 0.0778, 0.2190, 0.0689, 0.0706])",,,,,,,,,,,,,,,,
,,"tensor([0.4779, 0.0701, 0.0756, 0.2408, 0.0670, 0.0686])",,,,,,,,,,,,,,,,
,,"tensor([0.4764, 0.0699, 0.0754, 0.2431, 0.0668, 0.0684])",,,,,,,,,,,,,,,,
